Name,Food_Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg)
Beans Black Mature Seeds Raw,Beans and Lentils,341,1.42,21.6,62.36,2.12,15.5,0,0.366,123,5.02,1483,171,17,0,0,0,0,0.21
Lima Beans Large Mature Seeds Raw,Beans and Lentils,338,0.69,21.46,63.38,8.5,19,0,0.161,81,7.51,1724,224,0,0,0,0,0,0.72
Nuts Almonds Oil Roasted With Salt Added Smoke Flavor,Nuts and Seeds,607,55.89,21.43,17.86,3.57,10.7,0,3.571,286,3.86,679,286,0,NULL,0,NULL,NULL,25.13
Beans Pinto Mature Seeds Raw,Beans and Lentils,347,1.23,21.42,62.55,2.11,15.5,0,0.235,113,5.07,1393,176,0,0,6.3,0,0,0.21
Nuts Almonds Blanched,Nuts and Seeds,590,52.52,21.4,18.67,4.63,9.9,0,3.953,236,3.28,659,268,7,0,0,0,0,23.75
Chicken Meatless Breaded Fried,Beans and Lentils,234,12.77,21.28,8.51,0,4.3,0,1.13,42,3.83,300,12,0,0,0,5.11,0,1.95
Beans Black Turtle Mature Seeds Raw,Beans and Lentils,339,0.9,21.25,63.25,2.12,15.5,0,0.232,160,8.7,1500,160,17,0,0,0,0,0.21
Nuts Almonds Oil Roasted Lightly Salted,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.207,291,3.68,699,274,1,NULL,0,0,NULL,25.97
Nuts Almonds Oil Roasted With Salt Added,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.208,291,3.68,699,274,1,0,0,0,0,25.97
Nuts Almonds Oil Roasted Without Salt Added,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.208,291,3.68,699,274,1,0,0,0,0,25.97
Dried Chives,Vegetables,311,3.5,21.2,64.29,NULL,26.2,0,0.591,813,20,2960,640,68300,3415,660,0,0,NULL
Almonds,Nuts and Seeds,579,49.93,21.15,21.55,4.35,12.5,0,3.802,269,3.71,733,270,2,0,0,0,0,25.63
Beans Small White Mature Seeds Raw,Beans and Lentils,336,1.18,21.11,62.25,NULL,24.9,0,0.304,173,7.73,1542,183,0,0,0,0,0,NULL
Dry Roasted Pistachio Nuts,Nuts and Seeds,572,45.82,21.05,28.28,7.74,10.3,0,5.645,107,4.03,1007,109,266,13,3,0,0,2.17
Nuts Pistachio Nuts Dry Roasted With Salt Added,Nuts and Seeds,569,45.82,21.05,27.55,7.74,10.3,0,5.645,107,4.03,1007,109,266,13,3,0,0,2.17
Meatballs Meatless,Beans and Lentils,197,9,21,8,1.25,4.6,0,1.425,25,2.16,180,18,0,0,0,1.5,0,1.73
Vegetarian Meatloaf Or Patties,Beans and Lentils,197,9,21,8,1.2,4.6,0,1.425,29,2.1,180,18,0,0,0,2.4,0,1.73
Beans Pink Mature Seeds Raw,Beans and Lentils,343,1.13,20.96,64.19,2.14,12.7,0,0.292,130,6.77,1464,182,0,0,0,0,0,0.21
Almond Butter,Nuts and Seeds,614,55.5,20.96,18.82,4.43,10.3,0,4.152,347,3.49,748,279,1,0,0,0,0,24.21
Nuts Almond Butter Plain With Salt Added,Nuts and Seeds,614,55.5,20.96,18.82,6.27,10.3,0,6.55,347,3.49,748,279,1,0,0,0,0,24.21
Nuts Almonds Dry Roasted With Salt Added,Nuts and Seeds,598,52.54,20.96,21.01,4.86,10.9,0,4.092,268,3.73,713,279,1,0,0,0,0,23.9
Dry Roasted Almonds,Nuts and Seeds,598,52.54,20.96,21.01,4.86,10.9,0,4.092,268,3.73,713,279,1,0,0,0,0,23.9
Dried Sunflower Seeds,Nuts and Seeds,584,51.46,20.78,20,2.62,8.6,0,4.455,78,5.25,645,325,50,3,1.4,0,0,35.17
Lima Beans Thin Seeded (Baby) Mature Seeds Raw,Beans and Lentils,335,0.93,20.62,62.83,8.32,20.6,0,0.219,81,6.19,1403,188,0,0,0,0,0,0.7
Chickpeas (Garbanzo Beans Bengal Gram) Mature Seeds Raw,Beans and Lentils,378,6.04,20.47,62.95,10.7,12.2,0,0.603,57,4.31,718,79,67,3,4,0,0,0.82
Seeds Sesame Seed Kernels Dried (Decorticated),Nuts and Seeds,631,61.21,20.45,11.73,0.48,11.6,0,9.055,60,6.36,370,345,66,3,0,0,0,1.68
Pistachio Nuts Unsalted,Nuts and Seeds,581,47.44,20.42,27.43,7.51,10,0,5.886,104,3.91,977,106,NULL,13,2.9,0,0,2.46
Almonds Unsalted,Nuts and Seeds,607,53.96,20.33,20.38,4.71,10.6,0,4.38,260,3.62,692,271,NULL,0,0,0,0,23.54
Pistachio Nuts Lightly Salted,Nuts and Seeds,579,47.21,20.32,27.3,7.47,9.9,0,5.857,103,3.9,972,105,NULL,13,2.9,0,0,2.44
Tempeh,Beans and Lentils,192,10.8,20.29,7.64,NULL,NULL,0,2.539,111,2.7,412,81,0,0,0,0.08,0,NULL
Sausage Meatless,Beans and Lentils,255,18.16,20.28,8.09,0,2.8,0,2.926,63,3.72,231,36,0,0,0,0,0,2.1
Pistachio Nuts Salted,Nuts and Seeds,576,46.98,20.22,27.16,7.43,9.9,0,5.828,103,3.88,967,105,NULL,12,2.9,0,0,2.43
Pistachio Nuts,Nuts and Seeds,560,45.32,20.16,27.17,7.66,10.6,0,5.907,105,3.92,1025,121,516,26,5.6,0,0,2.86
Almonds Salted,Nuts and Seeds,601,53.43,20.13,20.18,4.67,10.5,0,4.336,258,3.59,685,268,NULL,0,0,0,0,23.3
Almonds Flavored,Nuts and Seeds,599,53.27,20.07,20.12,4.65,10.4,0,4.323,257,3.58,683,267,NULL,0,0,0,0,23.23
Trail Mix With Nuts,Nuts and Seeds,600,52.82,20.06,21.18,4.1,8.1,0,7.288,88,3.2,649,205,NULL,0,0.6,0,0,9.89
Seeds Sunflower Seed Kernels Oil Roasted With Salt Added,Nuts and Seeds,592,51.3,20.06,22.89,3.11,10.6,0,7.068,87,4.28,483,127,9,0,1.1,0,0,36.33
Seeds Sunflower Seed Kernels Oil Roasted Without Salt,Nuts and Seeds,592,51.3,20.06,22.89,3.11,10.6,0,7.068,87,4.28,483,127,9,0,1.1,0,0,36.33
Nuts Mixed Nuts Oil Roasted With Peanuts With Salt Added,Nuts and Seeds,607,53.95,20.04,21.05,4.15,7,0,8.711,117,2.61,632,229,3,0,0.5,0,0,7.82
Nuts Mixed Nuts Oil Roasted With Peanuts Lightly Salted,Nuts and Seeds,607,53.95,20.04,21.05,4.15,7,0,8.711,117,2.61,632,229,3,0,0.5,0,0,7.82
Nuts Mixed Nuts Oil Roasted With Peanuts Without Salt Added,Nuts and Seeds,607,53.95,20.04,21.05,4.15,7,0,8.711,117,2.61,632,229,3,0,0.5,0,0,7.82
Tempeh Cooked,Beans and Lentils,195,11.38,19.91,7.62,NULL,NULL,NULL,3.4,96,2.13,401,77,NULL,NULL,NULL,0.14,0,NULL
Beans Adzuki Mature Seeds Raw,Beans and Lentils,329,0.53,19.87,62.9,NULL,12.7,0,0.191,66,4.98,1254,127,17,1,0,0,0,NULL
Mixed Nuts With Peanuts Unsalted,Nuts and Seeds,610,54.05,19.74,21.21,4.57,7.6,0,7.659,94,2.81,608,199,NULL,1,0.4,0,0,7.49
Frankfurter Meatless,Beans and Lentils,233,13.73,19.61,7.7,0,3.9,0,1.653,33,1.41,98,18,0,0,0,2.35,0,1.92
Nuts Nfs,Nuts and Seeds,605,53.62,19.59,21.04,4.53,7.6,0,7.598,93,2.79,603,197,NULL,1,0.4,0,0,7.43
Mixed Nuts Nfs,Nuts and Seeds,605,53.62,19.59,21.04,4.53,7.6,0,7.598,93,2.79,603,197,NULL,1,0.4,0,0,7.43
Dry-Roasted Mixed Nuts (Salted),Nuts and Seeds,607,53.5,19.5,22.42,5,6.4,0,8.01,87,3.73,643,227,4,0,0.8,0,0,6.13
Natto,Beans and Lentils,211,11,19.4,12.68,4.89,5.4,0,1.591,217,8.6,729,115,0,0,13,0,0,0.01
Seeds Sunflower Seed Kernels Dry Roasted With Salt Added,Nuts and Seeds,582,49.8,19.33,24.07,2.73,9,0,5.219,70,3.8,850,129,9,0,1.4,0,0,26.1
Dry Roasted Sunflower Seeds,Nuts and Seeds,582,49.8,19.33,24.07,2.73,11.1,0,5.219,70,3.8,850,129,9,0,1.4,0,0,26.1
Dry Roasted Sunflower Seeds (With Salt),Nuts and Seeds,546,49.8,19.33,15.31,2.73,9,0,5.219,70,3.8,850,129,9,0,1.4,0,0,26.1
Sunflower Seeds Plain Salted,Nuts and Seeds,575,49.21,19.1,23.78,2.7,11,0,5.157,69,3.76,840,127,NULL,0,1.4,0,0,25.79
Tofu Fried,Beans and Lentils,270,20.18,18.82,8.86,2.72,3.9,0,2.918,372,4.87,146,60,27,1,0,0,0,0.04
Tofu Fried Prepared With Calcium Sulfate,Beans and Lentils,270,20.18,18.82,8.86,NULL,3.9,0,2.918,961,4.87,146,95,0,NULL,0,0,0,NULL
Beans French Mature Seeds Raw,Beans and Lentils,343,2.02,18.81,64.11,NULL,25.2,0,0.221,186,3.4,1316,188,8,0,4.6,0,0,NULL
Seeds Pumpkin And Squash Seeds Whole Roasted With Salt Added,Nuts and Seeds,446,19.4,18.55,53.75,NULL,18.4,0,3.67,55,3.31,919,262,62,3,0.3,0,0,NULL
Roasted Squash And Pumpkin Seeds (With Shells),Nuts and Seeds,446,19.4,18.55,53.75,NULL,18.4,0,3.67,55,3.31,919,262,62,3,0.3,0,0,NULL
Sunflower Seeds Flavored,Nuts and Seeds,567,47.54,18.45,25.93,5.55,10.6,0,4.983,67,3.64,812,123,NULL,0,1.3,0,0,24.92
Flax Seeds,Nuts and Seeds,534,42.16,18.29,28.88,1.55,27.3,0,3.663,255,5.73,813,392,0,0,0.6,0,0,0.31
Cashews (Raw),Nuts and Seeds,553,43.85,18.22,30.19,5.91,3.3,0,7.783,37,6.68,660,292,0,0,0.5,0,0,0.9
Boiled Soybeans (Edamame),Beans and Lentils,172,8.97,18.21,8.36,3,6,0,1.297,102,5.14,515,86,9,0,1.7,0,0,0.35
Soybeans Mature Seeds Cooked Boiled With Salt,Beans and Lentils,172,8.97,18.21,8.36,2.36,6,0,1.297,102,5.14,515,86,9,0,1.7,0,0,0.35
Nuts Almonds Honey Roasted Unblanched,Nuts and Seeds,594,49.9,18.17,27.9,NULL,13.7,0,4.73,263,2.83,560,240,0,0,0.7,0,0,NULL
Soybeans Dry Cooked Fat Not Added In Cooking,Beans and Lentils,171,8.92,18.1,8.31,2.98,6,0,1.29,102,5.11,512,86,NULL,0,1.7,0,0,0.35
Seeds Sesame Butter Paste,Nuts and Seeds,586,50.87,18.08,24.05,NULL,5.5,0,7.124,960,19.2,582,362,50,3,0,0,0,NULL
Nuts Mixed Nuts Dry Roasted With Peanuts Salt Added Chosen Roaster,Nuts and Seeds,608,53.2,18,24.62,3.9,7.1,NULL,7.023,106,3.22,585,202,NULL,NULL,NULL,NULL,NULL,NULL
Seeds Sesame Butter Tahini From Unroasted Kernels (Non-Chemically Removed Seed Coat),Nuts and Seeds,607,56.44,17.95,17.89,NULL,9.3,0,7.904,141,6.35,459,353,67,3,0,0,0,NULL
Peppers Sweet Red Freeze-Dried,Vegetables,314,3,17.9,68.7,40.77,21.3,0,0.447,134,10.4,3170,188,77261,3863,1900,0,0,4
Nuts Mixed Nuts Oil Roasted Without Peanuts Lightly Salted,Nuts and Seeds,607,50,17.86,25,5.21,7.1,0,7.143,130,5.18,714,275,27,1,0.6,0,0,7.68
Raw Sesame Butter (Tahini),Nuts and Seeds,570,48,17.81,26.19,NULL,9.3,0,6.722,420,2.51,414,96,67,3,0,0,0,NULL
Luncheon Slices Meatless,Beans and Lentils,189,11.11,17.78,4.44,2.22,1.1,0,1.338,41,1.8,200,23,0,0,0,4,0,3
Seeds Sesame Seeds Whole Dried,Nuts and Seeds,573,49.67,17.73,23.45,0.3,11.8,0,6.957,975,14.55,468,351,9,0,0,0,0,0.25
Cashew Butter,Nuts and Seeds,587,49.41,17.56,27.57,NULL,2,0,9.763,43,5.03,546,258,0,0,0,0,0,NULL
Seeds Sesame Butter Tahini Type Of Kernels Unspecified,Nuts and Seeds,592,53.01,17.4,21.5,NULL,4.7,0,7.423,141,4.42,459,95,67,3,4.2,0,0,NULL
Oat Bran,Grains and Pasta,246,7.03,17.3,66.22,1.45,15.4,0,1.328,58,5.41,566,235,0,0,0,0,0,1.01
Nuts Mixed Nuts Dry Roasted With Peanuts With Salt Added,Nuts and Seeds,594,51.45,17.3,25.35,4.8,9,0,6.5,70,3.7,693,225,5,0,0.4,0,0,10.94
Seeds Sunflower Seed Butter With Salt Added,Nuts and Seeds,617,55.2,17.28,23.32,10.54,5.7,0,4.678,64,4.12,576,311,52,NULL,2.7,0,0,22.89
Seeds Sunflower Seed Butter Without Salt,Nuts and Seeds,617,55.2,17.28,23.32,10.54,5.7,0,4.678,64,4.12,576,311,52,NULL,2.7,0,0,22.89
Firm Tofu,Beans and Lentils,144,8.72,17.27,2.78,NULL,2.3,0,1.261,683,2.66,237,58,166,NULL,0.2,0,0,NULL
Seeds Sunflower Seed Kernels Toasted With Salt Added,Nuts and Seeds,619,56.8,17.21,20.59,NULL,11.5,0,5.953,57,6.81,491,129,0,0,1.4,0,0,NULL
Seeds Sunflower Seed Kernels Toasted Without Salt,Nuts and Seeds,619,56.8,17.21,20.59,NULL,11.5,0,5.953,57,6.81,491,129,0,0,1.4,0,0,NULL
Sesame Butter (Tahini),Nuts and Seeds,595,53.76,17,21.19,0.49,9.3,0,7.529,426,8.95,414,95,67,3,0,0,0,0.25
Mixed Nuts Unroasted,Nuts and Seeds,606,54.13,16.96,23.17,4.66,7.6,0,7.024,139,4.3,639,239,NULL,1,0.9,0,0,9.68
Seeds Sesame Seed Kernels Toasted With Salt Added (Decorticated),Nuts and Seeds,567,48,16.96,26.04,0.48,16.9,0,6.722,131,7.78,406,346,66,3,0,0,0,0.25
Seeds Sesame Seed Kernels Toasted Without Salt Added (Decorticated),Nuts and Seeds,567,48,16.96,26.04,0.48,16.9,0,6.722,131,7.78,406,346,66,3,0,0,0,0.25
Seeds Sesame Meal Partially Defatted,Nuts and Seeds,567,48,16.96,26.04,NULL,NULL,0,6.722,153,14.55,406,346,66,3,0,0,0,NULL
Sesame Seeds (Toasted),Nuts and Seeds,565,48,16.96,25.74,NULL,14,0,6.722,989,14.76,475,356,9,0,0,0,0,NULL
Uncooked Oats,Grains and Pasta,389,6.9,16.89,66.27,NULL,10.6,0,1.217,54,4.72,429,177,0,0,0,0,0,NULL
Nuts Cashew Nuts Oil Roasted With Salt Added,Nuts and Seeds,581,47.77,16.84,30.16,5.01,3.3,0,8.478,43,6.05,632,273,0,0,0.3,0,0,0.92
Oil Roasted Cashews,Nuts and Seeds,580,47.77,16.84,29.87,5.01,3.3,0,8.478,43,6.05,632,273,0,0,0.3,0,0,0.92
Soybeans Dry Cooked Fat Added In Cooking,Beans and Lentils,223,15.57,16.78,7.7,2.76,5.5,0,2.194,94,4.75,475,79,NULL,0,1.6,0,0,1.18
Soybeans Dry Cooked Ns As To Fat Added In Cooking,Beans and Lentils,223,15.57,16.78,7.7,2.76,5.5,0,2.194,94,4.75,475,79,NULL,0,1.6,0,0,1.18
Chia Seeds,Nuts and Seeds,486,30.74,16.54,42.12,NULL,34.4,0,3.33,631,7.72,407,335,54,NULL,1.6,0,NULL,0.5
Mixed Nuts Without Peanuts Unsalted,Nuts and Seeds,615,55.54,16.44,22.46,4.52,7.4,0,7.228,135,4.17,620,231,NULL,1,0.9,0,0,9.74
Mixed Nuts Without Peanuts Salted,Nuts and Seeds,610,55.09,16.31,22.28,4.48,7.3,0,7.169,134,4.14,615,229,NULL,1,0.9,0,0,9.66
Safflower Seeds,Nuts and Seeds,517,38.45,16.18,34.29,NULL,NULL,0,3.682,78,4.9,687,353,50,3,0,0,0,NULL
Rye Flour Dark,Grains and Pasta,325,2.22,15.91,68.63,2.31,23.8,0,0.269,37,4.97,717,160,11,1,0,0,0,2.73
Veggie Burgers,Beans and Lentils,177,6.3,15.7,14.27,1.07,4.9,5,1.44,136,2.41,333,56,16,1,4.5,2.01,0,0.23
Boiled Lupin Beans,Beans and Lentils,119,2.92,15.57,9.88,NULL,2.8,0,0.346,51,1.2,245,54,7,0,1.1,0,0,NULL
Lupin Beans (Cooked),Beans and Lentils,116,2.92,15.57,9.29,NULL,2.8,0,0.346,51,1.2,245,54,0,0,1.1,0,0,NULL
Wheat Bran Crude,Grains and Pasta,216,4.25,15.55,64.51,0.41,42.8,0,0.63,73,10.57,1182,611,9,0,0,0,0,1.49
